stock_symbol,timestamp,open,high,low,close,volume,ma_5,ma_10,ma_50,daily_return
IBM,2024-09-18,214.13,216.86,213.59,214.94,3482764,,,,
IBM,2024-09-19,218.01,218.48,210.37,213.89,5279559,,,,-0.004885084209546919
IBM,2024-09-20,214.33,217.85,213.74,217.7,9958980,,,,0.017812894478470342
IBM,2024-09-23,218.0,220.62,217.27,220.5,4074755,,,,0.012861736334405238
IBM,2024-09-24,219.78,221.19,218.16,220.97,3184114,217.6,,,0.002131519274376492
IBM,2024-09-25,221.17,221.85,220.16,221.23,2537751,218.858,,,0.0011766303118070365
IBM,2024-09-26,222.11,224.0,221.355,223.43,2673210,220.766,,,0.009944401753830823
IBM,2024-09-27,223.0,224.15,220.77,220.84,3830335,221.394,,,-0.011591997493622164
IBM,2024-09-30,220.65,221.32,219.02,221.08,3544264,221.51,,,0.0010867596449919414
IBM,2024-10-01,220.63,221.1,215.9,219.35,3548374,221.186,219.39299999999997,,-0.007825221639225721
IBM,2024-10-02,218.31,220.2,215.798,219.73,3343399,220.88599999999997,219.87199999999999,,0.0017323911556872407
IBM,2024-10-03,219.5,222.83,219.27,222.72,3788265,220.744,220.75500000000002,,0.01360760933873384
IBM,2024-10-04,223.75,226.08,223.27,226.0,3554328,221.77599999999998,221.58499999999998,,0.014727011494252817
IBM,2024-10-07,225.38,227.67,225.02,227.12,3457952,222.984,222.24699999999999,,0.004955752212389308
IBM,2024-10-08,228.11,229.345,227.0401,228.62,3245342,224.83800000000002,223.012,,0.006604438182458594
IBM,2024-10-09,229.2,234.95,228.5,234.3,5083566,227.752,224.31900000000002,,0.024844720496894457
IBM,2024-10-10,235.1,235.83,231.81,233.02,3142031,229.81199999999998,225.27800000000002,,-0.005463081519419544
IBM,2024-10-11,233.25,233.44,230.46,233.26,3469322,231.26399999999998,226.51999999999998,,0.001029954510342268
IBM,2024-10-14,233.57,236.12,233.17,235.26,2524389,232.892,227.93800000000002,,0.00857412329589291
IBM,2024-10-15,236.4,237.37,232.71,232.96,3350556,233.76,229.29900000000004,,-0.009776417580549146
