stock_symbol,timestamp,open,high,low,close,volume
IBM,2025-02-07 19:55:00,252.0,252.0,252.0,252.0,1
IBM,2025-02-07 19:50:00,252.01,252.1,252.0,252.1,354
IBM,2025-02-07 19:45:00,252.1,252.1,252.0978,252.0978,4
IBM,2025-02-07 19:40:00,252.0981,252.0981,252.0981,252.0981,6
IBM,2025-02-07 19:35:00,252.1,252.1,252.0978,252.0978,38
IBM,2025-02-07 19:30:00,252.1,252.1,251.97,252.1,674
IBM,2025-02-07 19:15:00,251.5,252.01,251.5,251.5,106
IBM,2025-02-07 19:05:00,252.01,252.01,251.9973,252.01,29
IBM,2025-02-07 19:00:00,252.34,252.34,251.5,251.5,580573
IBM,2025-02-07 18:55:00,252.088,252.088,252.0,252.0,938
IBM,2025-02-07 18:50:00,252.1488,252.1488,252.02,252.02,209
IBM,2025-02-07 18:45:00,252.1,252.25,252.1,252.2,3
IBM,2025-02-07 18:40:00,252.24,252.24,252.22,252.22,13
IBM,2025-02-07 18:35:00,252.03,252.03,252.03,252.03,15
IBM,2025-02-07 18:30:00,252.34,252.34,252.34,252.34,580293
IBM,2025-02-07 18:25:00,252.01,252.02,252.01,252.02,2
IBM,2025-02-07 18:20:00,252.02,252.02,252.01,252.01,541
IBM,2025-02-07 18:15:00,252.24,252.24,252.24,252.24,10
IBM,2025-02-07 18:10:00,252.02,252.244,252.016,252.016,147
IBM,2025-02-07 18:05:00,252.15,252.15,252.02,252.02,85
IBM,2025-02-07 18:00:00,252.17,252.25,252.0767,252.25,1014
IBM,2025-02-07 17:55:00,252.04,252.04,252.04,252.04,2
IBM,2025-02-07 17:50:00,252.25,252.25,252.18,252.18,9
IBM,2025-02-07 17:45:00,252.04,252.18,252.04,252.18,26
IBM,2025-02-07 17:40:00,252.18,252.18,252.18,252.18,1
IBM,2025-02-07 17:35:00,252.22,252.22,252.0201,252.0201,114
IBM,2025-02-07 17:30:00,252.22,252.22,252.22,252.22,3
IBM,2025-02-07 17:25:00,252.34,252.34,252.0201,252.0201,31
IBM,2025-02-07 17:20:00,252.23,252.23,252.04,252.05,38
IBM,2025-02-07 17:15:00,252.34,252.66,252.02,252.02,385
IBM,2025-02-07 17:10:00,252.06,252.07,252.0101,252.0101,173
IBM,2025-02-07 17:05:00,252.0101,252.47,252.01,252.47,100
IBM,2025-02-07 17:00:00,252.01,252.01,252.0001,252.0001,66
IBM,2025-02-07 16:55:00,253.0,253.0,252.0,252.5,864
IBM,2025-02-07 16:50:00,252.68,252.68,252.28,252.28,52
IBM,2025-02-07 16:45:00,252.35,252.35,252.35,252.35,2
IBM,2025-02-07 16:40:00,252.36,252.36,252.36,252.36,1
IBM,2025-02-07 16:35:00,252.01,252.14,252.01,252.14,40
IBM,2025-02-07 16:30:00,252.0,252.4,252.0,252.0,1500
IBM,2025-02-07 16:25:00,252.5,252.5,252.0,252.0,58
IBM,2025-02-07 16:20:00,252.94,252.94,252.34,252.34,209
IBM,2025-02-07 16:15:00,252.34,253.4,252.34,252.34,976
IBM,2025-02-07 16:10:00,252.34,253.1683,252.34,253.1683,582505
IBM,2025-02-07 16:05:00,252.55,252.6,252.34,252.59,24
IBM,2025-02-07 16:00:00,252.4,254.5,252.11,252.34,1235120
IBM,2025-02-07 15:55:00,252.46,252.4795,252.1701,252.4,286309
IBM,2025-02-07 15:50:00,252.095,252.56,252.095,252.435,116375
IBM,2025-02-07 15:45:00,252.3796,252.42,252.05,252.09,97545
IBM,2025-02-07 15:40:00,252.47,252.665,252.271,252.32,47017
IBM,2025-02-07 15:35:00,252.68,252.71,252.44,252.47,27577
IBM,2025-02-07 15:30:00,252.08,252.7,252.02,252.7,37748
IBM,2025-02-07 15:25:00,252.3674,252.39,252.1,252.1,28510
IBM,2025-02-07 15:20:00,252.18,252.5,252.161,252.364,25091
IBM,2025-02-07 15:15:00,252.357,252.42,252.03,252.19,33927
IBM,2025-02-07 15:10:00,252.74,252.758,252.27,252.33,18137
IBM,2025-02-07 15:05:00,252.485,252.74,252.19,252.74,105485
IBM,2025-02-07 15:00:00,252.66,252.7,252.3831,252.3831,94320
IBM,2025-02-07 14:55:00,252.705,252.81,252.58,252.68,19184
IBM,2025-02-07 14:50:00,252.6776,252.74,252.53,252.74,20541
IBM,2025-02-07 14:45:00,252.6842,252.7799,252.5937,252.62,24360
IBM,2025-02-07 14:40:00,252.545,252.732,252.47,252.72,19157
IBM,2025-02-07 14:35:00,252.43,252.6126,252.37,252.56,17344
IBM,2025-02-07 14:30:00,252.2003,252.51,252.13,252.44,27341
IBM,2025-02-07 14:25:00,252.7,252.7634,252.27,252.27,23939
IBM,2025-02-07 14:20:00,252.78,252.8366,252.4278,252.645,30579
IBM,2025-02-07 14:15:00,252.6497,252.84,252.53,252.76,18875
IBM,2025-02-07 14:10:00,252.84,252.84,252.42,252.635,43293
IBM,2025-02-07 14:05:00,252.84,252.95,252.71,252.885,13739
IBM,2025-02-07 14:00:00,252.72,252.895,252.71,252.8792,21743
IBM,2025-02-07 13:55:00,252.965,253.04,252.75,252.8,20213
IBM,2025-02-07 13:50:00,253.205,253.32,252.93,252.98,29441
IBM,2025-02-07 13:45:00,253.4,253.4025,253.14,253.1601,22123
IBM,2025-02-07 13:40:00,253.6698,253.6698,253.31,253.4,108305
IBM,2025-02-07 13:35:00,253.66,253.6882,253.58,253.58,17534
IBM,2025-02-07 13:30:00,253.5519,253.7188,253.5519,253.66,9603
IBM,2025-02-07 13:25:00,253.76,253.82,253.61,253.61,9523
IBM,2025-02-07 13:20:00,254.07,254.07,253.7,253.765,11858
IBM,2025-02-07 13:15:00,254.1,254.19,253.97,254.03,14805
IBM,2025-02-07 13:10:00,253.98,254.09,253.83,254.01,10482
IBM,2025-02-07 13:05:00,253.77,254.2599,253.7145,253.91,16102
IBM,2025-02-07 13:00:00,253.77,253.92,253.58,253.8301,15964
IBM,2025-02-07 12:55:00,253.865,253.92,253.7001,253.8,27194
IBM,2025-02-07 12:50:00,253.94,253.9637,253.65,253.865,15222
IBM,2025-02-07 12:45:00,253.61,253.82,253.54,253.82,16383
IBM,2025-02-07 12:40:00,253.46,253.7699,253.44,253.62,23197
IBM,2025-02-07 12:35:00,253.17,253.64,253.13,253.52,24327
IBM,2025-02-07 12:30:00,253.42,253.48,253.14,253.26,15318
IBM,2025-02-07 12:25:00,253.5411,253.73,253.46,253.46,16214
IBM,2025-02-07 12:20:00,253.71,254.03,253.55,253.64,13642
IBM,2025-02-07 12:15:00,253.93,254.2751,253.34,253.72,42764
IBM,2025-02-07 12:10:00,253.955,254.11,253.64,253.93,9488
IBM,2025-02-07 12:05:00,253.16,254.01,253.07,254.0,12007
IBM,2025-02-07 12:00:00,253.36,253.47,253.09,253.27,19834
IBM,2025-02-07 11:55:00,253.73,253.95,253.465,253.465,22903
IBM,2025-02-07 11:50:00,253.61,253.73,253.39,253.68,40341
IBM,2025-02-07 11:45:00,253.61,253.82,253.53,253.59,12857
IBM,2025-02-07 11:40:00,253.41,253.715,253.21,253.68,31038
IBM,2025-02-07 11:35:00,253.66,253.95,253.49,253.49,23845
IBM,2025-02-07 11:30:00,253.59,254.01,253.44,253.75,25297
IBM,2025-02-07 11:25:00,254.14,254.19,253.58,253.595,23634
