,endpoint,message,data
0,Historical Options,success,"{'contractID': 'IBM101120C00095000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '95.00', 'type': 'call', 'last': '25.53', 'mark': '48.92', 'bid': '46.80', 'bid_size': '1', 'ask': '51.05', 'ask_size': '11', 'volume': '0', 'open_interest': '0', 'date': '2010-11-15', 'implied_volatility': '1.85653', 'delta': '0.97786', 'gamma': '0.00169', 'theta': '-0.60302', 'vega': '0.00887', 'rho': '0.01254'}"
1,Historical Options,success,"{'contractID': 'IBM101120P00095000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '95.00', 'type': 'put', 'last': '0.01', 'mark': '0.01', 'bid': '0.00', 'bid_size': '0', 'ask': '0.01', 'ask_size': '57', 'volume': '0', 'open_interest': '1356', 'date': '2010-11-15', 'implied_volatility': '1.23002', 'delta': '-0.00162', 'gamma': '0.00025', 'theta': '-0.03950', 'vega': '0.00088', 'rho': '-0.00003'}"
2,Historical Options,success,"{'contractID': 'IBM101120C00100000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '100.00', 'type': 'call', 'last': '17.35', 'mark': '44.10', 'bid': '42.10', 'bid_size': '21', 'ask': '46.10', 'ask_size': '90', 'volume': '0', 'open_interest': '0', 'date': '2010-11-15', 'implied_volatility': '1.81430', 'delta': '0.96499', 'gamma': '0.00253', 'theta': '-0.86254', 'vega': '0.01299', 'rho': '0.01295'}"
3,Historical Options,success,"{'contractID': 'IBM101120P00100000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '100.00', 'type': 'put', 'last': '0.01', 'mark': '0.01', 'bid': '0.00', 'bid_size': '0', 'ask': '0.01', 'ask_size': '29', 'volume': '0', 'open_interest': '785', 'date': '2010-11-15', 'implied_volatility': '1.08810', 'delta': '-0.00182', 'gamma': '0.00032', 'theta': '-0.03888', 'vega': '0.00098', 'rho': '-0.00004'}"
4,Historical Options,success,"{'contractID': 'IBM101120C00105000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '105.00', 'type': 'call', 'last': '39.30', 'mark': '39.03', 'bid': '38.60', 'bid_size': '5', 'ask': '39.45', 'ask_size': '185', 'volume': '50', 'open_interest': '0', 'date': '2010-11-15', 'implied_volatility': '1.55562', 'delta': '0.96502', 'gamma': '0.00295', 'theta': '-0.73928', 'vega': '0.01298', 'rho': '0.01364'}"
5,Historical Options,success,"{'contractID': 'IBM101120P00105000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '105.00', 'type': 'put', 'last': '0.02', 'mark': '0.01', 'bid': '0.00', 'bid_size': '0', 'ask': '0.01', 'ask_size': '8', 'volume': '0', 'open_interest': '767', 'date': '2010-11-15', 'implied_volatility': '0.95228', 'delta': '-0.00207', 'gamma': '0.00041', 'theta': '-0.03820', 'vega': '0.00110', 'rho': '-0.00004'}"
6,Historical Options,success,"{'contractID': 'IBM101120C00110000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '110.00', 'type': 'call', 'last': '18.05', 'mark': '33.90', 'bid': '33.60', 'bid_size': '23', 'ask': '34.20', 'ask_size': '214', 'volume': '0', 'open_interest': '1', 'date': '2010-11-15', 'implied_volatility': '1.25913', 'delta': '0.97025', 'gamma': '0.00319', 'theta': '-0.52429', 'vega': '0.01136', 'rho': '0.01445'}"
7,Historical Options,success,"{'contractID': 'IBM101120P00110000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '110.00', 'type': 'put', 'last': '0.01', 'mark': '0.01', 'bid': '0.00', 'bid_size': '0', 'ask': '0.01', 'ask_size': '43', 'volume': '34', 'open_interest': '1132', 'date': '2010-11-15', 'implied_volatility': '0.82164', 'delta': '-0.00238', 'gamma': '0.00054', 'theta': '-0.03740', 'vega': '0.00125', 'rho': '-0.00005'}"
8,Historical Options,success,"{'contractID': 'IBM101120C00115000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '115.00', 'type': 'call', 'last': '14.33', 'mark': '29.07', 'bid': '28.50', 'bid_size': '82', 'ask': '29.65', 'ask_size': '189', 'volume': '0', 'open_interest': '22', 'date': '2010-11-15', 'implied_volatility': '1.19496', 'delta': '0.95156', 'gamma': '0.00501', 'theta': '-0.73964', 'vega': '0.01691', 'rho': '0.01474'}"
9,Historical Options,success,"{'contractID': 'IBM101120P00115000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '115.00', 'type': 'put', 'last': '0.01', 'mark': '0.01', 'bid': '0.01', 'bid_size': '25', 'ask': '0.02', 'ask_size': '21', 'volume': '25', 'open_interest': '1649', 'date': '2010-11-15', 'implied_volatility': '0.69573', 'delta': '-0.00279', 'gamma': '0.00073', 'theta': '-0.03652', 'vega': '0.00144', 'rho': '-0.00006'}"
10,Historical Options,success,"{'contractID': 'IBM101120C00120000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '120.00', 'type': 'call', 'last': '12.11', 'mark': '23.85', 'bid': '23.60', 'bid_size': '72', 'ask': '24.10', 'ask_size': '273', 'volume': '0', 'open_interest': '15', 'date': '2010-11-15', 'implied_volatility': '0.86935', 'delta': '0.96550', 'gamma': '0.00522', 'theta': '-0.40978', 'vega': '0.01284', 'rho': '0.01573'}"
11,Historical Options,success,"{'contractID': 'IBM101120P00120000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '120.00', 'type': 'put', 'last': '0.03', 'mark': '0.02', 'bid': '0.01', 'bid_size': '31', 'ask': '0.03', 'ask_size': '11', 'volume': '10', 'open_interest': '2959', 'date': '2010-11-15', 'implied_volatility': '0.61860', 'delta': '-0.00586', 'gamma': '0.00160', 'theta': '-0.06322', 'vega': '0.00280', 'rho': '-0.00012'}"
12,Historical Options,success,"{'contractID': 'IBM101120C00125000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '125.00', 'type': 'call', 'last': '18.75', 'mark': '18.70', 'bid': '18.65', 'bid_size': '15', 'ask': '18.75', 'ask_size': '25', 'volume': '52', 'open_interest': '171', 'date': '2010-11-15', 'implied_volatility': '0.56418', 'delta': '0.98376', 'gamma': '0.00427', 'theta': '-0.14293', 'vega': '0.00682', 'rho': '0.01680'}"
13,Historical Options,success,"{'contractID': 'IBM101120P00125000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '125.00', 'type': 'put', 'last': '0.02', 'mark': '0.03', 'bid': '0.02', 'bid_size': '46', 'ask': '0.04', 'ask_size': '31', 'volume': '1821', 'open_interest': '5433', 'date': '2010-11-15', 'implied_volatility': '0.51723', 'delta': '-0.00999', 'gamma': '0.00306', 'theta': '-0.08447', 'vega': '0.00448', 'rho': '-0.00020'}"
14,Historical Options,success,"{'contractID': 'IBM101120C00130000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '130.00', 'type': 'call', 'last': '13.80', 'mark': '13.73', 'bid': '13.65', 'bid_size': '180', 'ask': '13.80', 'ask_size': '29', 'volume': '54', 'open_interest': '349', 'date': '2010-11-15', 'implied_volatility': '0.45519', 'delta': '0.97128', 'gamma': '0.00857', 'theta': '-0.18592', 'vega': '0.01103', 'rho': '0.01723'}"
15,Historical Options,success,"{'contractID': 'IBM101120P00130000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '130.00', 'type': 'put', 'last': '0.07', 'mark': '0.07', 'bid': '0.05', 'bid_size': '36', 'ask': '0.08', 'ask_size': '18', 'volume': '344', 'open_interest': '8494', 'date': '2010-11-15', 'implied_volatility': '0.43964', 'delta': '-0.02469', 'gamma': '0.00782', 'theta': '-0.15594', 'vega': '0.00972', 'rho': '-0.00050'}"
16,Historical Options,success,"{'contractID': 'IBM101120C00135000', 'symbol': 'IBM', 'expiration': '2010-11-20', 'strike': '135.00', 'type': 'call', 'last': '8.85', 'mark': '8.77', 'bid': '8.70', 'bid_size': '92', 'ask': '8.85', 'ask_size': '29', 'volume': '32', 'open_interest': '592', 'date': '2010-11-15', 'implied_volatility': '0.33171', 'delta': '0.94717', 'gamma': '0.01932', 'theta': '-0.22201', 'vega': '0.01812', 'rho': '0.01744'}"
