stock_symbol,timestamp,open,high,low,close,volume
IBM,2025-02-11 19:55:00,254.99,254.99,254.71,254.71,190
IBM,2025-02-11 19:50:00,254.99,254.99,254.99,254.99,1
IBM,2025-02-11 19:45:00,254.98,254.98,254.98,254.98,1
IBM,2025-02-11 19:35:00,254.8,254.82,254.8,254.82,40
IBM,2025-02-11 19:30:00,254.98,254.99,254.98,254.99,102
IBM,2025-02-11 19:25:00,254.7,254.9888,254.48,254.96,83
IBM,2025-02-11 19:20:00,254.75,254.98,254.48,254.98,173
IBM,2025-02-11 19:15:00,254.99,254.99,254.985,254.985,33
IBM,2025-02-11 19:10:00,254.9882,254.9899,254.9882,254.9899,87
IBM,2025-02-11 19:05:00,254.99,254.99,254.9777,254.9777,10
IBM,2025-02-11 19:00:00,254.7,254.7,254.7,254.7,403417
IBM,2025-02-11 18:55:00,254.49,254.7,254.48,254.7,12
IBM,2025-02-11 18:45:00,254.4801,254.4801,254.4801,254.4801,7
IBM,2025-02-11 18:40:00,254.9773,254.9773,254.7,254.7,6
IBM,2025-02-11 18:35:00,254.7,254.7,254.5,254.5,193
IBM,2025-02-11 18:30:00,254.7,254.95,254.7,254.95,403472
IBM,2025-02-11 18:20:00,254.9773,254.99,254.7,254.99,113
IBM,2025-02-11 18:15:00,254.99,254.99,254.48,254.98,27
IBM,2025-02-11 18:05:00,254.9773,254.98,254.5,254.98,50
IBM,2025-02-11 18:00:00,254.7,254.98,254.7,254.98,512
IBM,2025-02-11 17:55:00,254.45,254.69,254.45,254.69,30
IBM,2025-02-11 17:50:00,254.3,254.4,254.3,254.4,11
IBM,2025-02-11 17:45:00,253.6,253.6,253.6,253.6,9
IBM,2025-02-11 17:40:00,254.58,254.58,254.58,254.58,4
IBM,2025-02-11 17:35:00,254.69,254.69,254.69,254.69,3
IBM,2025-02-11 17:30:00,254.36,254.36,254.25,254.25,22
IBM,2025-02-11 17:25:00,254.42,254.44,254.16,254.25,62
IBM,2025-02-11 17:20:00,254.58,254.6,254.16,254.6,18
IBM,2025-02-11 17:15:00,254.58,254.58,254.5,254.5,2
IBM,2025-02-11 17:10:00,254.6,254.6,254.18,254.58,64
IBM,2025-02-11 17:05:00,254.15,254.63,254.15,254.63,50
IBM,2025-02-11 17:00:00,254.2962,254.2962,254.2962,254.2962,1
IBM,2025-02-11 16:55:00,254.3,254.3,254.15,254.15,508
IBM,2025-02-11 16:45:00,254.01,254.01,254.0001,254.0001,274
IBM,2025-02-11 16:40:00,254.3,254.3,254.0,254.0,310
IBM,2025-02-11 16:35:00,254.42,254.5,254.21,254.29,1648
IBM,2025-02-11 16:30:00,254.3,254.5,254.3,254.5,886
IBM,2025-02-11 16:25:00,254.34,255.59,254.3,254.31,1427
IBM,2025-02-11 16:20:00,254.7,255.0,254.3,255.0,311
IBM,2025-02-11 16:15:00,254.7,255.77,254.7,254.7,520
IBM,2025-02-11 16:10:00,254.7,255.8999,254.5925,255.3,403533
IBM,2025-02-11 16:05:00,254.7,255.6,254.7,255.6,1229
