stock_symbol,timestamp,open,high,low,close,volume
IBM,2025-01-31 19:55:00,254.037,255.443,254.037,255.1,297
IBM,2025-01-31 19:50:00,255.35,255.42,255.0,255.35,117
IBM,2025-01-31 19:45:00,255.3665,255.5452,255.35,255.43,387
IBM,2025-01-31 19:40:00,255.5,255.62,255.5,255.62,107
IBM,2025-01-31 19:35:00,255.6186,255.6186,255.503,255.6,107
IBM,2025-01-31 19:30:00,255.6,255.71,255.5,255.71,48
IBM,2025-01-31 19:25:00,255.8099,255.8099,255.6,255.6,202
IBM,2025-01-31 19:20:00,255.6,255.6,255.6,255.6,12
IBM,2025-01-31 19:15:00,255.65,255.8099,255.5,255.5,153
IBM,2025-01-31 19:10:00,255.6,255.81,255.52,255.81,452
IBM,2025-01-31 19:05:00,255.8099,255.8099,255.66,255.67,77
IBM,2025-01-31 19:00:00,255.7,255.7,255.6,255.6052,1897415
IBM,2025-01-31 18:55:00,255.76,255.81,255.75,255.75,33
IBM,2025-01-31 18:50:00,255.81,255.81,255.76,255.79,36
IBM,2025-01-31 18:45:00,255.87,255.87,255.79,255.8,299
IBM,2025-01-31 18:40:00,255.9985,255.9985,255.9985,255.9985,1
IBM,2025-01-31 18:35:00,255.9,256.0,255.9,256.0,25
IBM,2025-01-31 18:30:00,255.7,256.0,255.7,255.85,1897770
IBM,2025-01-31 18:25:00,255.89,255.9,255.6562,255.6562,123
IBM,2025-01-31 18:20:00,255.88,255.9,255.6,255.89,395
IBM,2025-01-31 18:15:00,255.65,255.78,255.61,255.78,440
IBM,2025-01-31 18:10:00,255.64,255.65,255.5,255.61,103
IBM,2025-01-31 18:05:00,255.64,255.64,255.5,255.5,194
IBM,2025-01-31 18:00:00,255.6,255.6,255.5097,255.5097,511
IBM,2025-01-31 17:55:00,255.59,255.59,255.55,255.55,6
IBM,2025-01-31 17:50:00,255.8814,255.8814,255.5,255.5,50
IBM,2025-01-31 17:45:00,255.6,255.6,255.5,255.5,6
IBM,2025-01-31 17:40:00,255.83,255.94,255.5,255.88,1999
IBM,2025-01-31 17:35:00,255.55,255.55,255.55,255.55,10
IBM,2025-01-31 17:30:00,255.89,255.89,255.55,255.55,57
IBM,2025-01-31 17:25:00,255.9,255.9,255.55,255.9,61
IBM,2025-01-31 17:20:00,255.55,255.74,255.51,255.74,42
IBM,2025-01-31 17:15:00,255.52,255.9,255.51,255.55,75
IBM,2025-01-31 17:10:00,255.9,255.9,255.54,255.54,2
IBM,2025-01-31 17:05:00,255.7,255.9,255.55,255.9,29
IBM,2025-01-31 17:00:00,255.7,255.7,255.7,255.7,3
IBM,2025-01-31 16:55:00,255.5,255.74,255.5,255.53,105
IBM,2025-01-31 16:50:00,255.72,255.74,255.5,255.74,31
IBM,2025-01-31 16:45:00,255.5062,255.7438,255.5012,255.74,94
IBM,2025-01-31 16:40:00,255.5,255.5,255.5,255.5,27
IBM,2025-01-31 16:35:00,256.0,256.0,255.5062,255.74,1020
IBM,2025-01-31 16:30:00,255.61,255.99,255.4112,255.99,369
IBM,2025-01-31 16:25:00,255.6,256.1,255.5025,255.86,428
IBM,2025-01-31 16:20:00,255.7,255.71,255.5,255.5,3195
IBM,2025-01-31 16:15:00,255.7,255.95,255.5,255.5,41222
IBM,2025-01-31 16:10:00,255.7,256.0,255.5,256.0,1897633
IBM,2025-01-31 16:05:00,255.52,255.7179,255.26,255.7179,94574
IBM,2025-01-31 16:00:00,255.68,255.7,255.27,255.7,4406635
IBM,2025-01-31 15:55:00,255.37,255.71,255.07,255.675,412922
IBM,2025-01-31 15:50:00,255.65,255.83,255.02,255.33,146231
IBM,2025-01-31 15:45:00,255.06,255.75,255.06,255.63,60590
IBM,2025-01-31 15:40:00,255.05,255.28,254.78,255.12,51293
IBM,2025-01-31 15:35:00,255.02,255.23,254.87,255.05,40833
IBM,2025-01-31 15:30:00,255.26,255.47,254.83,254.9727,42610
IBM,2025-01-31 15:25:00,255.2,255.305,254.93,255.258,33307
IBM,2025-01-31 15:20:00,254.67,255.17,254.38,255.17,49570
IBM,2025-01-31 15:15:00,255.15,255.175,254.6,254.6798,71362
IBM,2025-01-31 15:10:00,255.16,255.55,255.015,255.17,40995
IBM,2025-01-31 15:05:00,255.66,255.73,255.15,255.16,29680
IBM,2025-01-31 15:00:00,256.06,256.08,255.55,255.5604,32814
IBM,2025-01-31 14:55:00,256.1,256.3961,256.07,256.07,40520
IBM,2025-01-31 14:50:00,255.365,256.09,255.365,256.09,40864
IBM,2025-01-31 14:45:00,255.5199,255.52,255.13,255.365,67680
IBM,2025-01-31 14:40:00,255.845,255.845,255.365,255.3715,37899
IBM,2025-01-31 14:35:00,256.08,256.18,255.64,255.76,34018
IBM,2025-01-31 14:30:00,255.87,256.19,255.83,256.18,25730
IBM,2025-01-31 14:25:00,255.62,255.845,255.43,255.81,28665
IBM,2025-01-31 14:20:00,255.29,255.6482,255.07,255.615,27647
IBM,2025-01-31 14:15:00,255.19,255.36,255.04,255.3,31310
IBM,2025-01-31 14:10:00,254.65,255.19,254.56,255.19,21229
IBM,2025-01-31 14:05:00,254.625,254.7666,254.35,254.58,33596
IBM,2025-01-31 14:00:00,254.89,255.11,254.54,254.54,50702
IBM,2025-01-31 13:55:00,254.97,255.111,254.84,254.955,48148
IBM,2025-01-31 13:50:00,255.15,255.17,254.66,254.9,51517
IBM,2025-01-31 13:45:00,254.8326,255.19,254.8326,255.0101,24859
IBM,2025-01-31 13:40:00,254.735,255.08,254.6542,255.03,44942
IBM,2025-01-31 13:35:00,254.56,254.81,254.3,254.61,40654
IBM,2025-01-31 13:30:00,254.82,255.01,254.5505,254.59,33631
IBM,2025-01-31 13:25:00,255.15,255.2087,254.82,254.82,28980
IBM,2025-01-31 13:20:00,255.09,255.37,255.0,255.07,23880
IBM,2025-01-31 13:15:00,255.775,256.05,255.215,255.3,29758
IBM,2025-01-31 13:10:00,255.715,255.96,255.4701,255.775,38022
IBM,2025-01-31 13:05:00,256.14,256.145,255.56,255.715,26759
IBM,2025-01-31 13:00:00,255.945,256.3,255.88,256.185,26552
IBM,2025-01-31 12:55:00,255.885,256.01,255.73,255.8901,20758
IBM,2025-01-31 12:50:00,256.0101,256.13,255.75,255.9699,26552
IBM,2025-01-31 12:45:00,256.59,256.64,256.06,256.06,76710
IBM,2025-01-31 12:40:00,256.08,256.55,256.05,256.54,36348
IBM,2025-01-31 12:35:00,256.07,256.35,256.03,256.09,29399
IBM,2025-01-31 12:30:00,256.39,256.71,256.05,256.05,40020
IBM,2025-01-31 12:25:00,256.49,256.69,256.31,256.375,38658
IBM,2025-01-31 12:20:00,255.89,256.52,255.76,256.52,43021
IBM,2025-01-31 12:15:00,255.52,256.0,255.52,255.88,41543
IBM,2025-01-31 12:10:00,255.4199,255.65,255.11,255.64,45877
IBM,2025-01-31 12:05:00,255.0,255.57,254.8301,255.3987,45878
IBM,2025-01-31 12:00:00,254.935,255.5099,254.92,255.06,37402
IBM,2025-01-31 11:55:00,254.82,255.07,254.6,254.93,49724
IBM,2025-01-31 11:50:00,254.95,255.0,254.76,254.97,53776
IBM,2025-01-31 11:45:00,255.07,255.1,254.77,254.92,45697
IBM,2025-01-31 11:40:00,255.4,255.48,255.0,255.14,30639
